Date	Category	Non-Capital	Capital	% Business Use	Business Cost	Nett GST	GST Paid	Notes
24 Apr 2024	PRIVATE PRACTICE CAR	$123.60	-	75%	$92.70	$84.27	$8.43	Fuel 
07 May 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
09 May 2024	PRIVATE PRACTICE CAR	$109.10	-	75%	$81.83	$74.39	$7.44	Fuel
12 May 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
12 May 2024	PRIVATE PRACTICE CAR	$78.95	-	75%	$59.21	$53.83	$5.38	Fuell NIGHTOWL KELVIN GROVE - Visa Purchase - Receipt 146970In KELVIN GROVE Date 11 May 2024 Card 462263xxxxxx1990
16 May 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
16 May 2024	PRIVATE PRACTICE CAR	$25.54	-	75%	$19.16	$17.41	$1.74	LINKT BRISBANE BRISBANE
16 May 2024	PRIVATE PRACTICE CAR	$114.37	-	75%	$85.78	$77.98	$7.80	Fuel
21 May 2024	PRIVATE PRACTICE CAR	$93.14	-	75%	$69.86	$63.50	$6.35	Fuel
21 Jun 2024	PRIVATE PRACTICE CAR	$201.13	-	75%	$150.85	$137.14	$13.71	Renewal of lapsed car registration TRANSPORTMAIN ROADS BRISBANE
23 May 2024	PRIVATE PRACTICE PHONE	$10.00	-	67%	$6.70	$6.09	$0.61	International Roaming Day Pass - Zone 2
27 May 2024	PRIVATE PRACTICE PHONE	$72.00	-	67%	$48.24	$43.85	$4.39	
27 Jun 2024	PRIVATE PRACTICE PHONE	$72.00	-	67%	$48.24	$43.85	$4.39	
27 Jul 2023	PRIVATE PRACTICE PHONE	$72.00	-	67%	$48.24	$43.85	$4.39	
27 Aug 2023	PRIVATE PRACTICE PHONE	$72.00	-	67%	$48.24	$43.85	$4.39	
27 Dec 2023	PRIVATE PRACTICE PHONE	$72.00	-	67%	$48.24	$43.85	$4.39	
27 Sep 2023	PRIVATE PRACTICE PHONE	$72.00	-	67%	$48.24	$43.85	$4.39	
27 Oct 2023	PRIVATE PRACTICE PHONE	$72.00	-	67%	$48.24	$43.85	$4.39	
27 Jan 2024	PRIVATE PRACTICE PHONE	$72.00	-	67%	$48.24	$43.85	$4.39	
27 Feb 2024	PRIVATE PRACTICE PHONE	$72.00	-	67%	$48.24	$43.85	$4.39	
27 Mar 2024	PRIVATE PRACTICE PHONE	$72.00	-	67%	$48.24	$43.85	$4.39	
27 Apr 2024	PRIVATE PRACTICE PHONE	$72.00	-	67%	$48.24	$43.85	$4.39	0411020343
03 May 2024	PROFESSIONAL DEVELOPMENT	$16.00	-	100%	$16.00	$14.55	$1.45	PARKING WILE ATTENDING MEDICAL CONFERENCE BRISBANECONVENTION&EXHI SOUTHBRISBANE
07 May 2024	PROFESSIONAL DEVELOPMENT	$15.00	-	100%	$15.00	$13.64	$1.36	Parking during medical conference BRISBANECONVENTION&EXHI SOUTHBRISBANE
10 Nov 2023	PROFESSIONAL DEVELOPMENT	$95.57	-	100%	$95.57	$86.88	$8.69	Language courses
30 Nov 2023	PROFESSIONAL DEVELOPMENT	$30.00	-	100%	$30.00	$27.27	$2.73	Registration of on-line attendance of seminar ANZCA FOUNDATION MELBOURNE
08 Jan 2024	PROFESSIONAL DEVELOPMENT	$203.68	-	100%	$203.68	$185.16	$18.52	Language courses
20 Mar 2024	PROFESSIONAL LIBRARY	$200.00	-	100%	$200.00	$181.82	$18.18	Repair of book
30 Apr 2024	SOFTWARE DEVELOPMENT	$149.00	-	100%	$149.00	$135.45	$13.55	Apple developer annual fee
09 Sep 2023	SOFTWARE DEVELOPMENT	$1,159.86	-	100%	$1,159.86	$1,054.42	$105.44	Cross-platform development software for writing computer applications
15 Jun 2024	WEBSITE DEVELOPMENT AND MAINTENANCE	$49.95	-	100%	$49.95	$45.41	$4.54	EVERWEB-RAGES* EVERWEB THORNHILL
11 Jul 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$14.95	-	100%	$14.95	$13.59	$1.36	NETREGISTRY ULTIMO
19 Jul 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$31.45	-	100%	$31.45	$28.59	$2.86	NETREGISTRY ULTIMO
11 Aug 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$16.95	-	100%	$16.95	$15.41	$1.54	NETREGISTRY ULTIMO
16 Aug 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$94.95	-	100%	$94.95	$86.32	$8.63	EVERWEB-RAGES* EVERWEB THORNHILL
24 Aug 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$20.75	-	100%	$20.75	$18.86	$1.89	NETREGISTRY ULTIMO
26 Aug 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$209.90	-	100%	$209.90	$190.82	$19.08	EVERWEB-RAGES* EVERWEB THORNHILL
11 Sep 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$16.95	-	100%	$16.95	$15.41	$1.54	NETREGISTRY ULTIMO
11 Oct 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$16.95	-	100%	$16.95	$15.41	$1.54	NETREGISTRY ULTIMO
22 Oct 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$41.95	-	100%	$41.95	$38.14	$3.81	EVERWEB-RAGES* EVERWEB THORNHILL
23 Oct 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$41.95	-	100%	$41.95	$38.14	$3.81	Dmain name registration Drphpilcumpston.com.au
31 Dec 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$75.89	-	100%	$75.89	$68.99	$6.90	Software to aid in website devcelopment
12 Nov 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$16.95	-	100%	$16.95	$15.41	$1.54	NETREGISTRY ULTIMO
11 Dec 2023	WEBSITE DEVELOPMENT AND MAINTENANCE	$16.95	-	100%	$16.95	$15.41	$1.54	NETREGISTRY ULTIMO
11 Jan 2024	WEBSITE DEVELOPMENT AND MAINTENANCE	$16.95	-	100%	$16.95	$15.41	$1.54	NETREGISTRY ULTIMO
11 Feb 2024	WEBSITE DEVELOPMENT AND MAINTENANCE	$16.95	-	100%	$16.95	$15.41	$1.54	NETREGISTRY ULTIMO
12 Mar 2024	WEBSITE DEVELOPMENT AND MAINTENANCE	$16.95	-	100%	$16.95	$15.41	$1.54	NETREGISTRY ULTIMO
12 Apr 2024	WEBSITE DEVELOPMENT AND MAINTENANCE	$16.95	-	100%	$16.95	$15.41	$1.54	NETREGISTRY ULTIMOTOTAL	ITEMS: 689	$448,792.39	$64,701.97		$509,465.75	$472,194.22	$37,271.53	
